task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
0,1,1,0.0333,99.5179,99.5179,63.6284,99.8276,99.5179,74.8667,99.5179,99.5179,66.0696,99.6592,2.605,0.017113
0,2,2,0.0667,99.6065,99.6065,63.9028,99.8329,99.6065,75.9469,99.6065,99.6065,66.7881,99.7067,1.9351,0.013634
0,3,3,0.1,99.7453,99.7453,67.3401,99.8345,99.7453,75.8491,99.7453,99.7453,69.8002,99.7851,0.8539,0.009662
0,4,4,0.1333,99.7418,99.7418,66.0915,99.8424,99.7418,75.2897,99.7418,99.7418,68.9163,99.7853,1.0298,0.009443
0,5,5,0.1667,99.7775,99.7775,66.4561,99.8324,99.7775,74.3015,99.7775,99.7775,69.4905,99.8006,0.6669,0.00855
0,6,6,0.2,99.6465,99.6465,65.3724,99.8475,99.6465,77.2509,99.6465,99.6465,68.3763,99.7372,1.7338,0.011995
0,7,7,0.2333,99.5589,99.5589,64.9155,99.8554,99.5589,79.0867,99.5589,99.5589,67.7905,99.6929,2.4661,0.014476
0,8,8,0.2667,99.7026,99.7026,65.8803,99.859,99.7026,76.3754,99.7026,99.7026,68.3943,99.7711,1.4746,0.009855
0,9,9,0.3,99.6874,99.6874,65.1194,99.8576,99.6874,76.8942,99.6874,99.6874,67.7556,99.7607,1.5685,0.009476
0,10,10,0.3333,99.7058,99.7058,66.2541,99.8568,99.7058,77.6393,99.7058,99.7058,69.2978,99.7728,1.4356,0.009965
0,11,11,0.3667,99.6531,99.6531,67.3521,99.8623,99.6531,79.8856,99.6531,99.6531,70.0329,99.7511,1.7791,0.011112
0,12,12,0.4,99.7845,99.7845,67.0487,99.8496,99.7845,75.4394,99.7845,99.7845,69.7458,99.8108,0.731,0.007967
0,13,13,0.4333,99.7741,99.7741,65.9349,99.8517,99.7741,75.5018,99.7741,99.7741,68.8867,99.8061,0.8727,0.007959
0,14,14,0.4667,99.5582,99.5582,64.8814,99.8551,99.5582,78.3273,99.5582,99.5582,67.6186,99.6924,2.495,0.013173
0,15,15,0.5,99.6193,99.6193,66.0714,99.8648,99.6193,79.8146,99.6193,99.6193,69.0195,99.7318,2.0804,0.012057
0,16,16,0.5333,99.6016,99.6016,65.5894,99.8602,99.6016,80.9658,99.6016,99.6016,68.8257,99.7185,2.2032,0.012609
0,17,17,0.5667,99.7752,99.7752,67.2941,99.8554,99.7752,76.4475,99.7752,99.7752,70.0025,99.8084,0.8703,0.007225
0,18,18,0.6,99.5273,99.5273,65.5948,99.871,99.5273,80.1948,99.5273,99.5273,68.1295,99.6835,2.8996,0.013631
0,19,19,0.6333,99.6945,99.6945,67.2918,99.8661,99.6945,79.8813,99.6945,99.6945,70.3639,99.7733,1.5363,0.009679
0,20,20,0.6667,99.7378,99.7378,68.3021,99.8579,99.7378,78.6324,99.7378,99.7378,70.8663,99.7928,1.0779,0.008661
0,21,21,0.7,99.6128,99.6128,65.6092,99.8648,99.6128,78.9331,99.6128,99.6128,68.339,99.7245,2.1643,0.011403
0,22,22,0.7333,99.728,99.728,68.2589,99.8617,99.728,79.7417,99.728,99.728,71.0691,99.7898,1.2004,0.009265
0,23,23,0.7667,99.715,99.715,67.0054,99.8626,99.715,79.7083,99.715,99.715,70.3889,99.7803,1.328,0.009461
0,24,24,0.8,99.5708,99.5708,65.7791,99.8685,99.5708,81.2711,99.5708,99.5708,68.6908,99.7061,2.5272,0.012641
0,25,25,0.8333,99.6702,99.6702,66.1733,99.8612,99.6702,79.6039,99.6702,99.6702,69.4076,99.7558,1.6469,0.010793
0,26,26,0.8667,99.8112,99.8112,68.9187,99.8655,99.8112,76.7034,99.8112,99.8112,71.7682,99.8343,0.6727,0.006337
0,27,27,0.9,99.6315,99.6315,66.5325,99.872,99.6315,81.6131,99.6315,99.6315,69.603,99.7412,2.0697,0.011249
0,28,28,0.9333,99.7946,99.7946,68.4284,99.8608,99.7946,76.8783,99.7946,99.7946,71.1579,99.8217,0.7484,0.006832
0,29,29,0.9667,99.7232,99.7232,67.2076,99.8707,99.7232,79.0383,99.7232,99.7232,70.3268,99.788,1.3934,0.008603
