task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
0,1,1,0.0333,99.7433,99.7433,65.5748,99.8218,99.7433,72.5405,99.7433,99.7433,67.8608,99.7733,0.7003,0.010781
0,2,2,0.0667,99.6645,99.6645,64.8515,99.8378,99.6645,75.5923,99.6645,99.6645,67.6944,99.7407,1.5724,0.01241
0,3,3,0.1,99.7285,99.7285,67.441,99.8443,99.7285,77.2478,99.7285,99.7285,70.0575,99.7807,1.0381,0.010041
0,4,4,0.1333,99.7581,99.7581,66.6433,99.8406,99.7581,74.9953,99.7581,99.7581,69.6969,99.7946,0.8432,0.008919
0,5,5,0.1667,99.7457,99.7457,65.1449,99.8318,99.7457,74.6293,99.7457,99.7457,67.9155,99.7817,0.9268,0.008685
0,6,6,0.2,99.5243,99.5243,67.2942,99.8625,99.5243,80.3965,99.5243,99.5243,68.8235,99.6839,2.6658,0.014592
0,7,7,0.2333,99.7058,99.7058,65.8389,99.8501,99.7058,76.571,99.7058,99.7058,68.7111,99.7688,1.3657,0.010293
0,8,8,0.2667,99.653,99.653,65.143,99.8489,99.653,76.6474,99.653,99.653,67.534,99.7376,1.77,0.011337
0,9,9,0.3,99.6382,99.6382,67.6394,99.8649,99.6382,79.6933,99.6382,99.6382,69.9555,99.7442,1.8621,0.01198
0,10,10,0.3333,99.7301,99.7301,65.3718,99.8539,99.7301,76.3621,99.7301,99.7301,68.2562,99.7827,1.2244,0.009088
0,11,11,0.3667,99.6689,99.6689,66.1851,99.8572,99.6689,78.0098,99.6689,99.6689,69.3093,99.7548,1.6354,0.010972
0,12,12,0.4,99.6827,99.6827,65.5878,99.8538,99.6827,76.9837,99.6827,99.6827,68.071,99.7563,1.5442,0.009809
0,13,13,0.4333,99.6604,99.6604,65.237,99.8588,99.6604,77.645,99.6604,99.6604,67.7592,99.7467,1.7764,0.010451
0,14,14,0.4667,99.7126,99.7126,66.158,99.8587,99.7126,76.6571,99.7126,99.7126,68.8858,99.7766,1.3934,0.009316
0,15,15,0.5,99.6822,99.6822,66.1445,99.8636,99.6822,78.4181,99.6822,99.6822,69.1899,99.7622,1.6265,0.010422
0,16,16,0.5333,99.736,99.736,66.1838,99.8539,99.736,76.7238,99.736,99.736,68.7175,99.7851,1.1408,0.008733
0,17,17,0.5667,99.7215,99.7215,67.3723,99.867,99.7215,79.4079,99.7215,99.7215,70.5501,99.7873,1.3238,0.009359
0,18,18,0.6,99.688,99.688,66.8966,99.8623,99.688,79.7795,99.688,99.688,70.1321,99.7678,1.5703,0.010362
0,19,19,0.6333,99.5411,99.5411,64.7394,99.8625,99.5411,78.9797,99.5411,99.5411,67.0937,99.6842,2.7132,0.013167
0,20,20,0.6667,99.7111,99.7111,66.8508,99.8652,99.7111,79.0104,99.7111,99.7111,70.0751,99.78,1.4144,0.009489
0,21,21,0.7,99.5989,99.5989,65.6114,99.8672,99.5989,78.8736,99.5989,99.5989,68.2194,99.7184,2.2971,0.011425
0,22,22,0.7333,99.6626,99.6626,66.4337,99.8723,99.6626,79.0031,99.6626,99.6626,69.2845,99.7573,1.8551,0.010742
0,23,23,0.7667,99.6526,99.6526,66.5166,99.8677,99.6526,79.2304,99.6526,99.6526,69.3206,99.7484,1.9339,0.010659
0,24,24,0.8,99.6418,99.6418,67.0179,99.872,99.6418,81.0341,99.6418,99.6418,69.9075,99.7485,1.9743,0.011481
0,25,25,0.8333,99.5699,99.5699,65.7598,99.871,99.5699,80.347,99.5699,99.5699,68.5232,99.7067,2.5521,0.012825
0,26,26,0.8667,99.7541,99.7541,67.5621,99.8734,99.7541,77.4766,99.7541,99.7541,70.1204,99.8056,1.1858,0.00762
0,27,27,0.9,99.6695,99.6695,66.3046,99.8703,99.6695,78.4153,99.6695,99.6695,68.5583,99.7567,1.791,0.010101
0,28,28,0.9333,99.6996,99.6996,66.5745,99.8613,99.6996,79.4875,99.6996,99.6996,69.8513,99.7701,1.4183,0.009761
0,29,29,0.9667,99.6581,99.6581,66.6131,99.8762,99.6581,78.9932,99.6581,99.6581,69.2612,99.7555,1.9418,0.009957
